timestamp,direction,signal_quality,attention,meditation,raw,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma
1769364922.8726358,UP,0,59,20,0,24,33,27,24,55,30,22,42
1769364927.8966954,DOWN,0,46,53,0,25,50,34,30,30,39,26,38
1769364932.9192371,RIGHT,0,43,47,0,51,58,51,8,35,36,29,41
1769364937.9425197,CLICK,0,49,45,0,20,42,29,30,38,35,45,23
1769364942.9641588,UP,0,44,43,0,14,29,27,36,47,22,32,31
1769364947.984426,CLICK,0,53,52,0,25,40,29,17,61,38,22,43
1769364953.0071857,LEFT,0,41,48,0,16,22,14,40,27,37,35,29
1769364958.0293732,DOWN,0,53,39,0,33,35,27,33,61,31,46,35
1769364963.0517154,UP,0,71,37,0,54,16,17,16,37,34,38,36
1769364968.0729485,UP,0,60,35,0,27,52,9,36,27,40,41,32
1769364973.0920117,RIGHT,0,52,32,0,14,24,10,47,29,23,37,32
1769364978.110917,UP,0,78,30,0,14,30,15,8,27,34,44,24
1769364983.131702,UP,0,46,43,0,40,31,25,47,29,31,35,35
1769364988.152771,CLICK,0,53,45,0,28,30,38,18,58,44,32,24
1769364993.170397,CLICK,0,53,29,0,10,26,50,17,42,42,38,49
1769364998.1940408,IDLE,0,50,49,0,18,78,29,38,28,46,35,40
1769365003.2128787,LEFT,0,0,0,0,27,47,52,22,38,18,33,41
1769365008.2340946,DOWN,0,0,0,0,7,49,10,20,49,41,21,37
1769365013.2541049,DOWN,0,57,40,0,27,33,26,24,45,34,44,28
1769365018.274989,LEFT,0,67,43,0,23,42,10,19,52,25,48,25
1769365023.2962198,DOWN,0,71,32,0,16,50,15,15,32,31,24,32
1769365024.188074,CLICK,0,50,36,0,4,38,43,18,49,38,27,26
1769365028.317377,DOWN,0,38,54,0,17,48,41,20,45,35,37,36
1769365033.3386524,CLICK,0,0,0,0,17,48,41,20,45,35,37,36
1769365038.3593984,UP,0,51,51,0,24,32,19,20,41,30,33,38
1769365043.381356,DOWN,0,69,29,0,35,30,19,10,41,34,28,39
1769365048.4026475,LEFT,0,0,0,0,45,50,18,26,41,18,54,37
1769365053.4233344,LEFT,0,64,32,0,49,29,10,24,41,40,40,36
1769365058.4440784,DOWN,5,0,0,0,28,45,35,15,35,47,40,30
1769365063.4658222,LEFT,0,38,48,0,12,41,38,39,33,19,39,26
1769365068.485776,RIGHT,0,49,45,0,15,36,20,30,30,30,45,32
1769365073.505443,IDLE,0,42,48,0,41,49,48,34,29,28,31,34
1769365078.5280628,IDLE,0,36,46,0,17,39,43,39,19,49,15,29
1769365083.5490649,DOWN,0,50,43,0,19,14,22,28,38,51,48,35
1769365088.5706072,LEFT,0,54,43,0,32,18,22,23,26,32,16,40
1769365093.591014,LEFT,0,56,39,0,61,63,25,30,45,26,33,42
1769365098.6114647,RIGHT,0,38,53,0,12,26,40,43,45,25,36,42
1769365103.6322012,IDLE,0,58,50,0,13,48,9,31,52,46,28,22
1769365108.65282,UP,1,0,0,0,12,33,17,22,39,18,24,40
1769365113.6750915,DOWN,0,0,0,0,12,33,17,22,39,18,24,40
1769365118.6956627,UP,0,44,42,0,84,45,33,30,26,36,30,33
1769365123.719178,IDLE,0,63,29,0,45,39,20,32,32,39,38,30
1769365128.7423606,CLICK,0,46,51,0,40,51,45,24,30,32,38,36
1769365133.764092,RIGHT,0,37,60,0,19,50,30,23,31,31,29,47
1769365138.7846625,DOWN,0,46,47,0,32,16,32,20,37,32,33,54
1769365143.8054488,RIGHT,0,48,40,0,28,23,16,33,38,42,24,36
1769365148.8294995,LEFT,0,0,0,0,12,44,21,13,51,27,32,30
1769365153.8504548,DOWN,0,0,0,0,61,54,4,12,27,30,29,18
1769365158.871513,LEFT,0,57,31,0,40,46,27,20,30,21,45,58
1769365163.8935642,DOWN,0,57,37,0,11,12,35,12,40,38,30,42
1769365168.9139874,DOWN,0,48,45,0,13,17,47,12,43,29,31,25
1769365173.9347632,LEFT,0,73,42,0,13,28,12,12,41,18,32,38
1769365178.953826,RIGHT,0,47,43,0,16,36,25,21,49,24,22,23
1769365183.9758482,LEFT,0,0,0,0,27,55,24,24,45,32,30,32
1769365188.9962783,CLICK,0,30,51,0,31,44,52,41,42,35,40,28
1769365194.0176911,UP,0,0,0,0,14,27,45,13,50,21,24,43
1769365199.0399585,CLICK,0,35,50,0,37,42,44,53,48,48,45,34
1769365204.0615437,CLICK,0,47,35,0,36,54,26,37,40,37,31,24
1769365209.0823944,RIGHT,0,0,0,0,29,20,41,7,47,36,30,35
1769365214.1052125,UP,0,56,40,0,36,33,14,24,37,45,22,38
1769365219.1263547,CLICK,0,43,52,0,23,45,22,44,31,39,36,23
1769365224.145428,DOWN,2,0,0,0,37,46,12,23,43,38,23,30
1769365229.1665933,RIGHT,0,0,0,0,17,33,22,34,38,34,29,28
1769365234.1861887,UP,0,47,47,0,17,31,34,26,47,31,37,39
1769365239.2071176,LEFT,0,49,50,0,14,28,27,21,41,30,20,34
1769365244.229546,DOWN,0,0,0,0,34,25,31,34,37,35,29,29
1769365249.2521422,RIGHT,0,0,0,0,18,60,29,26,16,27,34,30
1769365254.273216,RIGHT,0,49,41,0,13,26,33,18,38,31,34,36
1769365259.2929857,DOWN,4,0,0,0,32,38,22,7,31,11,34,41
1769365264.3133678,RIGHT,0,39,49,0,40,31,38,45,36,47,37,33
1769365269.334766,LEFT,0,54,38,0,40,29,32,19,32,25,31,42
1769365274.354489,DOWN,6,0,0,0,29,74,28,19,13,22,35,22
1769365279.372137,DOWN,0,0,0,0,29,74,28,19,13,22,35,22
1769365284.393827,LEFT,7,0,0,0,29,74,28,19,13,22,35,22
1769365289.4149704,LEFT,5,0,0,0,29,74,28,19,13,22,35,22
1769365294.4330912,LEFT,0,0,0,0,29,74,28,19,13,22,35,22
1769365299.4539926,IDLE,0,0,0,0,23,38,22,22,27,27,21,30
1769365304.473246,LEFT,0,0,0,0,12,44,21,22,34,43,35,28
1769365309.494117,CLICK,0,0,0,0,42,37,40,27,27,25,28,28
1769365314.5136442,RIGHT,0,0,0,0,42,37,40,27,27,25,28,28
1769365319.5362985,DOWN,0,0,0,0,42,37,40,27,27,25,28,28
1769365324.5550392,LEFT,0,0,0,0,42,37,40,27,27,25,28,28
1769365329.5743458,IDLE,0,0,0,0,42,37,40,27,27,25,28,28
1769365334.5986545,RIGHT,0,41,51,0,10,40,32,14,40,17,38,31
1769365339.61925,CLICK,0,45,42,0,25,41,29,37,34,27,29,37
1769365344.640969,UP,0,0,0,0,25,41,29,37,34,27,29,37
1769365349.6608553,IDLE,0,0,0,0,25,41,29,37,34,27,29,37
1769365354.6828854,LEFT,2,0,0,0,25,41,29,37,34,27,29,37
1769365359.7061691,UP,6,0,0,0,25,41,29,37,34,27,29,37
1769365364.728696,LEFT,0,0,0,0,25,41,29,37,34,27,29,37
1769365369.7506435,RIGHT,0,0,0,0,21,33,0,21,17,15,40,46
