timestamp,direction,signal_quality,attention,meditation,raw,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,norm_att,norm_med,norm_alpha,norm_beta
1769537877.483982,LEFT,0,0,0,0,0,0,39,21,0,0,0,0,0,0,60,0
1769537877.6854167,LEFT,0,0,0,0,0,0,39,21,0,0,0,0,0,0,60,0
1769537877.886546,LEFT,0,0,0,0,0,0,39,21,0,0,0,0,0,0,60,0
1769537878.0873306,LEFT,0,0,0,0,0,0,39,21,0,0,0,0,0,0,60,0
1769537878.2884572,LEFT,0,0,0,0,0,0,36,47,0,0,0,0,0,0,83,0
1769537878.489465,LEFT,0,0,0,0,0,0,36,47,0,0,0,0,0,0,83,0
1769537878.6903489,LEFT,0,0,0,0,0,0,36,47,0,0,0,0,0,0,83,0
1769537878.891614,LEFT,0,0,0,0,0,0,36,47,0,0,0,0,0,0,83,0
1769537879.092696,LEFT,0,0,0,0,0,0,36,47,0,0,0,0,0,0,83,0
1769537879.2936914,LEFT,0,0,0,0,0,0,43,27,0,0,0,0,0,0,70,0
1769537879.4945228,LEFT,0,0,0,0,0,0,43,27,0,0,0,0,0,0,70,0
1769537879.6957023,LEFT,0,0,0,0,0,0,43,27,0,0,0,0,0,0,70,0
1769537879.8967674,LEFT,0,0,0,0,0,0,43,27,0,0,0,0,0,0,70,0
1769537880.0977216,LEFT,0,0,0,0,0,0,43,27,0,0,0,0,0,0,70,0
1769537880.2991357,LEFT,0,0,0,0,0,0,43,27,0,0,0,0,0,0,70,0
1769537880.5000992,LEFT,0,0,0,0,0,0,47,14,0,0,0,0,0,0,61,0
1769537880.7011123,LEFT,0,0,0,0,0,0,47,14,0,0,0,0,0,0,61,0
1769537880.9021785,LEFT,0,0,0,0,0,0,47,14,0,0,0,0,0,0,61,0
1769537881.1036494,LEFT,0,0,0,0,0,0,47,14,0,0,0,0,0,0,61,0
1769537881.3044622,LEFT,0,0,0,0,0,0,47,14,0,0,0,0,0,0,61,0
1769537881.5054433,LEFT,0,0,0,0,0,0,34,9,0,0,0,0,0,0,43,0
1769537881.706801,LEFT,0,0,0,0,0,0,34,9,0,0,0,0,0,0,43,0
1769537881.9078958,LEFT,0,0,0,0,0,0,34,9,0,0,0,0,0,0,43,0
1769537882.1087117,LEFT,0,0,0,0,0,0,34,9,0,0,0,0,0,0,43,0
1769537882.3096879,LEFT,0,0,0,0,0,0,34,9,0,0,0,0,0,0,43,0
1769537882.5111423,LEFT,0,0,0,0,0,0,64,26,0,0,0,0,0,0,90,0
1769537882.71233,LEFT,0,0,0,0,0,0,64,26,0,0,0,0,0,0,90,0
1769537882.9130578,LEFT,0,0,0,0,0,0,64,26,0,0,0,0,0,0,90,0
1769537883.1142285,LEFT,0,0,0,0,0,0,64,26,0,0,0,0,0,0,90,0
1769537883.315404,LEFT,0,0,0,0,0,0,64,26,0,0,0,0,0,0,90,0
1769537883.516296,LEFT,0,0,0,0,0,0,24,29,0,0,0,0,0,0,53,0
1769537883.7173102,LEFT,0,0,0,0,0,0,24,29,0,0,0,0,0,0,53,0
1769537883.9179792,LEFT,0,0,0,0,0,0,24,29,0,0,0,0,0,0,53,0
1769537884.1189814,LEFT,0,0,0,0,0,0,24,29,0,0,0,0,0,0,53,0
1769537884.319718,LEFT,0,0,0,0,0,0,24,29,0,0,0,0,0,0,53,0
1769537884.521269,LEFT,0,0,0,0,0,0,24,29,0,0,0,0,0,0,53,0
1769537884.722223,LEFT,0,0,0,0,0,0,37,11,0,0,0,0,0,0,48,0
1769537884.9232109,LEFT,0,0,0,0,0,0,37,11,0,0,0,0,0,0,48,0
1769537885.1244733,LEFT,0,0,0,0,0,0,37,11,0,0,0,0,0,0,48,0
1769537885.3257382,LEFT,0,0,0,0,0,0,37,11,0,0,0,0,0,0,48,0
1769537885.5273268,LEFT,0,0,0,0,0,0,37,11,0,0,0,0,0,0,48,0
1769537885.7286613,LEFT,0,0,0,0,0,0,36,42,0,0,0,0,0,0,78,0
1769537885.929749,LEFT,0,0,0,0,0,0,36,42,0,0,0,0,0,0,78,0
1769537886.1309578,LEFT,0,0,0,0,0,0,36,42,0,0,0,0,0,0,78,0
1769537886.332369,LEFT,0,0,0,0,0,0,36,42,0,0,0,0,0,0,78,0
1769537886.5333457,LEFT,0,0,0,0,0,0,36,42,0,0,0,0,0,0,78,0
1769537886.734335,LEFT,0,0,0,0,0,0,28,29,0,0,0,0,0,0,57,0
1769537886.9352167,LEFT,0,0,0,0,0,0,28,29,0,0,0,0,0,0,57,0
1769537887.136047,LEFT,0,0,0,0,0,0,28,29,0,0,0,0,0,0,57,0
1769537887.3374796,LEFT,0,0,0,0,0,0,28,29,0,0,0,0,0,0,57,0
1769537887.538506,LEFT,0,0,0,0,0,0,28,29,0,0,0,0,0,0,57,0
1769537887.7396002,LEFT,0,0,0,0,0,0,28,29,0,0,0,0,0,0,57,0
1769537887.940645,LEFT,0,0,0,0,0,0,48,17,0,0,0,0,0,0,65,0
1769537888.141765,LEFT,0,0,0,0,0,0,48,17,0,0,0,0,0,0,65,0
1769537888.3424947,LEFT,0,0,0,0,0,0,48,17,0,0,0,0,0,0,65,0
1769537888.5439456,LEFT,0,0,0,0,0,0,48,17,0,0,0,0,0,0,65,0
1769537888.744867,LEFT,0,0,0,0,0,0,48,17,0,0,0,0,0,0,65,0
1769537888.9460452,LEFT,0,0,0,0,0,0,35,24,0,0,0,0,0,0,59,0
1769537889.1475914,LEFT,0,0,0,0,0,0,35,24,0,0,0,0,0,0,59,0
1769537889.3484952,LEFT,0,0,0,0,0,0,35,24,0,0,0,0,0,0,59,0
1769537889.5493631,LEFT,0,0,0,0,0,0,35,24,0,0,0,0,0,0,59,0
1769537889.750615,LEFT,0,0,0,0,0,0,35,24,0,0,0,0,0,0,59,0
1769537889.9518385,LEFT,0,0,0,0,0,0,37,23,0,0,0,0,0,0,60,0
1769537890.152581,LEFT,0,0,0,0,0,0,37,23,0,0,0,0,0,0,60,0
1769537890.3540704,LEFT,0,0,0,0,0,0,37,23,0,0,0,0,0,0,60,0
1769537890.5550601,LEFT,0,0,0,0,0,0,37,23,0,0,0,0,0,0,60,0
1769537890.7562783,LEFT,0,0,0,0,0,0,37,23,0,0,0,0,0,0,60,0
1769537890.9575963,LEFT,0,0,0,0,0,0,29,36,0,0,0,0,0,0,65,0
1769537891.1589515,LEFT,0,0,0,0,0,0,29,36,0,0,0,0,0,0,65,0
1769537891.3601768,LEFT,0,0,0,0,0,0,29,36,0,0,0,0,0,0,65,0
1769537891.561509,LEFT,0,0,0,0,0,0,29,36,0,0,0,0,0,0,65,0
1769537891.7628481,LEFT,0,0,0,0,0,0,29,36,0,0,0,0,0,0,65,0
1769537891.964047,LEFT,0,0,0,0,0,0,29,36,0,0,0,0,0,0,65,0
1769537892.165385,LEFT,0,0,0,0,0,0,30,34,0,0,0,0,0,0,64,0
1769537892.3664563,LEFT,0,0,0,0,0,0,30,34,0,0,0,0,0,0,64,0
1769537892.5676913,LEFT,0,0,0,0,0,0,30,34,0,0,0,0,0,0,64,0
1769537892.7690508,LEFT,0,0,0,0,0,0,30,34,0,0,0,0,0,0,64,0
1769537892.9702208,LEFT,0,0,0,0,0,0,30,34,0,0,0,0,0,0,64,0
1769537893.1714797,LEFT,0,0,0,0,0,0,54,27,0,0,0,0,0,0,81,0
1769537893.372475,LEFT,0,0,0,0,0,0,54,27,0,0,0,0,0,0,81,0
1769537893.5736425,LEFT,0,0,0,0,0,0,54,27,0,0,0,0,0,0,81,0
1769537893.7751286,LEFT,0,0,0,0,0,0,54,27,0,0,0,0,0,0,81,0
1769537893.9761078,LEFT,0,0,0,0,0,0,54,27,0,0,0,0,0,0,81,0
1769537894.1771867,LEFT,0,0,0,0,0,0,25,21,0,0,0,0,0,0,46,0
1769537894.3781428,LEFT,0,0,0,0,0,0,25,21,0,0,0,0,0,0,46,0
1769537894.5794404,LEFT,0,0,0,0,0,0,25,21,0,0,0,0,0,0,46,0
1769537894.7804897,LEFT,0,0,0,0,0,0,25,21,0,0,0,0,0,0,46,0
1769537894.981845,LEFT,0,0,0,0,0,0,25,21,0,0,0,0,0,0,46,0
1769537895.1834629,LEFT,0,0,0,0,0,0,25,21,0,0,0,0,0,0,46,0
1769537895.384563,LEFT,0,0,0,0,0,0,41,39,0,0,0,0,0,0,80,0
1769537895.5857444,LEFT,0,0,0,0,0,0,41,39,0,0,0,0,0,0,80,0
1769537895.787228,LEFT,0,0,0,0,0,0,41,39,0,0,0,0,0,0,80,0
1769537895.9884717,LEFT,0,0,0,0,0,0,41,39,0,0,0,0,0,0,80,0
1769537896.1895504,LEFT,0,0,0,0,0,0,41,39,0,0,0,0,0,0,80,0
1769537896.390658,LEFT,0,0,0,0,0,0,83,23,0,0,0,0,0,0,106,0
1769537896.5917106,LEFT,0,0,0,0,0,0,83,23,0,0,0,0,0,0,106,0
1769537896.7927518,LEFT,0,0,0,0,0,0,83,23,0,0,0,0,0,0,106,0
1769537896.994096,LEFT,0,0,0,0,0,0,83,23,0,0,0,0,0,0,106,0
1769537897.1948497,LEFT,0,0,0,0,0,0,83,23,0,0,0,0,0,0,106,0
1769537897.3957908,LEFT,0,0,0,0,0,0,47,39,0,0,0,0,0,0,86,0
1769537897.5965993,LEFT,0,0,0,0,0,0,47,39,0,0,0,0,0,0,86,0
1769537897.7977073,LEFT,0,0,0,0,0,0,47,39,0,0,0,0,0,0,86,0
1769537897.9992394,LEFT,0,0,0,0,0,0,47,39,0,0,0,0,0,0,86,0
1769537898.2001123,LEFT,0,0,0,0,0,0,47,39,0,0,0,0,0,0,86,0
1769537898.4007108,LEFT,0,0,0,0,0,0,47,30,0,0,0,0,0,0,77,0
1769537898.6016312,LEFT,0,0,0,0,0,0,47,30,0,0,0,0,0,0,77,0
1769537898.8030348,LEFT,0,0,0,0,0,0,47,30,0,0,0,0,0,0,77,0
1769537899.0037675,LEFT,0,0,0,0,0,0,47,30,0,0,0,0,0,0,77,0
1769537899.2048635,LEFT,0,0,0,0,0,0,47,30,0,0,0,0,0,0,77,0
1769537899.4059107,LEFT,0,0,0,0,0,0,47,30,0,0,0,0,0,0,77,0
1769537899.6071093,LEFT,0,0,0,0,0,0,48,38,0,0,0,0,0,0,86,0
1769537899.8084836,LEFT,0,0,0,0,0,0,48,38,0,0,0,0,0,0,86,0
1769537900.009572,LEFT,0,0,0,0,0,0,48,38,0,0,0,0,0,0,86,0
1769537900.2106926,LEFT,0,0,0,0,0,0,48,38,0,0,0,0,0,0,86,0
1769537900.4118814,LEFT,0,0,0,0,0,0,48,38,0,0,0,0,0,0,86,0
1769537900.6131945,LEFT,0,0,0,0,0,0,40,60,0,0,0,0,0,0,100,0
1769537900.8140893,LEFT,0,0,0,0,0,0,40,60,0,0,0,0,0,0,100,0
